Candidates,Most_donations,state_Most_donations,county_Most_donations,Highest_per_head_donations,state_name_per_head_donations,county_name,pop2014,Most_number_of_donors,county_most_donors,state_most_donors,Marco_Rubio,Marco_Rubio_State,Ted_Cruz,Ted_Cruz_State,Hillary_Clinton,Hillary_Clinton_state,Bernie_Sanders,Bernie_Sanders_state,Jeb_Bush,Jeb_Bush_State,Donald_Trump,Donald_Trump_State,state_name_Rubio,Rubio_donations,state_name_Cruz,Cruz_donations,state_name_Clinton,Clinton_donations,state_name_Sanders,Sanders_donations,state_name_Bush,Bush_donations,state_name_Trump,Trump_donations
,,,,,,,,,,,,,,,,,,,,,,,Rhode Island,7041710,Rhode Island,8306479,Wyoming,8264001,New Mexico,8446632,Wyoming,7492591,New York,7594855
,,,,,,,,,,,,,,,,,,,,,,,Vermont,6808068,Vermont,8302532,Wisconsin,8263911,Vermont,8405579,Wisconsin,7226048,Louisiana,7426524
,,,,,,,,,,,,,,,,,,,,,,,Wyoming,6694792,Wyoming,7667014,Virginia,8032838,Ohio,8038449,Virginia,6712429,Maine,7408210
,,,,,,,,,,,,,,,,,,,,,,,Missouri,6399024,Missouri,7518213,Utah,7738670,Wyoming,7769692,Utah,6418287,Tennessee,7398498
,,,,,,,,,,,,,,,,,,,,,,,Iowa,6320322,Iowa,7492715,Alabama,7593631,Alabama,7683999,Alabama,6200742,Maryland,7302758
,,,,,,,,,,,,,,,,,,,,,,,Wisconsin,6170875,Wisconsin,7411301,Nevada,7554816,Maine,7219298,Nevada,6198042,Illinois,6773873
,,,,,,,,,,,,,,,,,,,,,,,Virginia,6137431,Virginia,7133426,New Jersey,7275153,New Jersey,7084249,New Jersey,6173827,South Dakota,6722278
,,,,,,,,,,,,,,,,,,,,,,,Kansas,5683782,Kansas,6733122,North Carolina,6908842,District of Columbia,6861091,North Carolina,6166184,North Dakota,6044186
,,,,,,,,,,,,,,,,,,,,,,,New Jersey,5614771,New Jersey,6662129,Delaware,6821791,Idaho,6335817,Delaware,5519998,Vermont,5722173
,,,,,,,,,,,,,,,,,,,,,,,Illinois,5440264,Illinois,6582695,Oregon,6376366,Colorado,6206723,Oregon,5140413,West Virginia,5689479
,,,,,,,,,,,,,,,,,,,,,,,Pennsylvania,5410476,Pennsylvania,6499244,Vermont,5930162,Connecticut,5737963,Vermont,4923010,Indiana,5439238
,,,,,,,,,,,,,,,,,,,,,,,Indiana,5261356,Indiana,6472273,Hawaii,5700786,Pennsylvania,5521552,Hawaii,4769553,Massachusetts,5221136
,,,,,,,,,,,,,,,,,,,,,,,North Carolina,5134527,North Carolina,6441129,Georgia,5595384,West Virginia,5312825,Georgia,4742000,Arkansas,4839838
,,,,,,,,,,,,,,,,,,,,,,,New Mexico,5071579,New Mexico,6043482,California,4652895,Texas,5100598,California,4706737,Mississippi,4564696
,,,,,,,,,,,,,,,,,,,,,,,Arizona,5033806,Arizona,5999703,Florida,4514640,Oregon,5076846,Florida,4329097,Oregon,4442133
,,,,,,,,,,,,,,,,,,,,,,,Maine,4747327,Maine,5911363,Pennsylvania,4506799,Montana,5043168,Pennsylvania,4193414,Hawaii,4416832
,,,,,,,,,,,,,,,,,,,,,,,Colorado,4747064,Colorado,5758807,Oklahoma,4331477,Michigan,4926837,Oklahoma,3911216,Utah,4394119
,,,,,,,,,,,,,,,,,,,,,,,District of Columbia,4706682,District of Columbia,5551902,Massachusetts,4268675,Indiana,4812809,Massachusetts,3825971,Connecticut,4187654
,,,,,,,,,,,,,,,,,,,,,,,Alaska,4601166,Alaska,5390661,Ohio,4162467,North Carolina,4745425,Ohio,3810611,Alaska,4184137
,,,,,,,,,,,,,,,,,,,,,,,South Carolina,4489157,South Carolina,5202316,North Dakota,3630815,Massachusetts,4733206,North Dakota,3702362,Nevada,3620657
,,,,,,,,,,,,,,,,,,,,,,,Maryland,4330535,Maryland,5134742,Mississippi,3492053,Arizona,4586622,Mississippi,3673708,South Carolina,3529419
,,,,,,,,,,,,,,,,,,,,,,,North Dakota,4297212,North Dakota,5114512,Colorado,3363625,Nebraska,3982444,Colorado,3291094,Wyoming,3340317
,,,,,,,,,,,,,,,,,,,,,,,New Hampshire,4001006,New Hampshire,4708519,Kansas,2802656,Arkansas,3931792,Kansas,3280038,District of Columbia,3049913
,,,,,,,,,,,,,,,,,,,,,,,Oregon,3862350,Oregon,4647584,Kentucky,2709825,Virginia,3872649,Kentucky,3187534,Georgia,2896989
,,,,,,,,,,,,,,,,,,,,,,,Ohio,3652477,Ohio,4498712,Iowa,2279874,Mississippi,3858592,Iowa,3003878,Texas,2865801
,,,,,,,,,,,,,,,,,,,,,,,Oklahoma,3541907,Oklahoma,4242242,Connecticut,2113255,Rhode Island,3698318,Connecticut,2993681,Idaho,2823776
,,,,,,,,,,,,,,,,,,,,,,,Nebraska,3481621,Nebraska,3901256,Washington,2103949,Florida,3530181,Washington,2739397,North Carolina,2688378
,,,,,,,,,,,,,,,,,,,,,,,Washington,3365558,Washington,3274554,Maryland,1969457,Missouri,3120439,Maryland,2118608,New Jersey,2275716
,,,,,,,,,,,,,,,,,,,,,,,Massachusetts,3128873,Massachusetts,3198261,Illinois,1882792,Wisconsin,2998636,Illinois,2007672,Nebraska,2014636
,,,,,,,,,,,,,,,,,,,,,,,Delaware,2698080,Delaware,3197506,Louisiana,1778690,Illinois,2983188,Louisiana,1700836,Arizona,2007837
,,,,,,,,,,,,,,,,,,,,,,,Minnesota,2594452,Minnesota,2215388,South Carolina,1259579,Louisiana,2623540,South Carolina,1641732,Iowa,1939586
,,,,,,,,,,,,,,,,,,,,,,,New York,2287280,New York,1866075,Missouri,1118238,Delaware,2463233,Missouri,1627565,New Mexico,1672214
,,,,,,,,,,,,,,,,,,,,,,,Kentucky,2111524,Kentucky,1822809,Nebraska,1042946,Alaska,2335911,Nebraska,1461636,California,1500445
,,,,,,,,,,,,,,,,,,,,,,,Texas,1212075,Texas,1772679,Tennessee,921567,Tennessee,2114257,Tennessee,1284210,Delaware,1098771
,,,,,,,,,,,,,,,,,,,,,,,Georgia,1144829,Georgia,1283392,Rhode Island,917747,Georgia,1947730,Rhode Island,730538,Oklahoma,1021226
,,,,,,,,,,,,,,,,,,,,,,,Alabama,1121641,Alabama,1080639,South Dakota,677530,New York,1560036,South Dakota,566977,Florida,927114
,,,,,,,,,,,,,,,,,,,,,,,Connecticut,1021120,Connecticut,1067083,Michigan,632050,Oklahoma,1517267,Michigan,500879,Pennsylvania,903316
,,,,,,,,,,,,,,,,,,,,,,,West Virginia,213932,West Virginia,835330,Arkansas,589874,South Dakota,1102803,Arkansas,433245,Minnesota,657151
,,,,,,,,,,,,,,,,,,,,,,,Montana,192572,Montana,746428,New Hampshire,559020,Kentucky,943095,New Hampshire,380128,Montana,534831
,,,,,,,,,,,,,,,,,,,,,,,Hawaii,179926,Hawaii,706857,Arizona,232300,Hawaii,710596,Arizona,215919,New Hampshire,425698
,,,,,,,,,,,,,,,,,,,,,,,Mississippi,37981,Mississippi,508815,Minnesota,55480,North Dakota,173926,Minnesota,82542,Ohio,421260
